step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
20,0.200000,1,0.004955858202,0,0.251690683,0.262259112,0.894246265,-0.000113818,0.001655898,-0.001939803,0.002552996,0.031014384,0.241819154,-0.252724026,0.913478770,-0.000753938,-0.001140192,-0.000101158,0.001370654,0.015005073,-0.034426961,-0.010209781,0.006589856,0.023170937,0.547018133,0.034470054,0.095369602,0.004283280,0.027090539,0.004079069,-0.001876684,-0.516444871,0.003596560,0.023713601,-0.001641461,0.000150373,0.001241666,-1.342252508,-0.363770599,-0.034420539,0.783073173,-0.082165921,3.042867339,0.023028844,-0.116308880,0.268620277,0.478691042,0.221715644,1.375992798,-2.057504037,0.062344451,0.081039958,0.074981389,-0.264635985,0.006374957,1
21,0.210000,1,0.005122791008,0,0.251534160,0.263925739,0.892242841,-0.000156523,0.001666628,-0.002003424,0.002610719,0.033625104,0.241039799,-0.253891087,0.913396393,-0.000779355,-0.001167061,-0.000082377,0.001405778,0.016410852,-0.037563779,-0.011041913,0.006968309,0.026364468,0.551984743,0.035603512,0.103190152,0.004754007,0.029274441,0.004282978,-0.002035237,-0.519147374,0.004496651,0.025645479,-0.001702753,0.000227866,0.001491414,-1.364080838,-0.330875680,-0.055685950,0.782763010,-0.084484876,2.821241205,0.022397845,-0.109565373,0.253208937,0.445822777,0.117040913,1.338152790,-1.940778657,-0.000695372,0.085015813,0.039005611,-0.250405721,0.007012301,1
22,0.220000,1,0.005301616149,0,0.251377190,0.265643073,0.890269736,-0.000156970,0.001717334,-0.001973105,0.002620500,0.036245603,0.240214079,-0.255112036,0.913330824,-0.000825720,-0.001220949,-0.000065568,0.001475408,0.017886260,-0.040834822,-0.011910422,0.007343320,0.029636307,0.556943136,0.037041257,0.111013006,0.005213104,0.031485206,0.004534756,-0.002171618,-0.521712277,0.005190992,0.027583592,-0.001755941,0.000312857,0.001714699,-1.331116150,-0.349790192,-0.060172437,0.761059267,-0.111051028,2.689577886,-0.068166411,-0.103568818,0.236325482,0.414395779,0.031978160,1.297744129,-1.829091615,-0.051972912,0.088090797,0.008688204,-0.236595093,0.007686643,1
23,0.230000,1,0.005491723719,0,0.251221236,0.267404575,0.888326608,-0.000155954,0.001761501,-0.001943128,0.002627347,0.038872951,0.239343113,-0.256383395,0.913285003,-0.000870967,-0.001271359,-0.000045821,0.001541764,0.019428024,-0.044242274,-0.012812018,0.007712762,0.032986423,0.561893081,0.038761127,0.118838099,0.005661243,0.033721291,0.004831116,-0.002296295,-0.524143365,0.005691255,0.029521635,-0.001800627,0.000401748,0.001912943,-1.302899921,-0.361790571,-0.063820492,0.751596503,-0.132484736,2.514025147,-0.104974196,-0.098233560,0.218245950,0.384516904,-0.051791711,1.258205924,-1.720915958,-0.103886745,0.090296005,-0.019565408,-0.223427021,0.008398602,1
24,0.240000,1,0.005691797454,0,0.251067277,0.269205602,0.886414278,-0.000153959,0.001801027,-0.001912330,0.002631427,0.041504378,0.238429123,-0.257700441,0.913261988,-0.000913990,-0.001317046,-0.000023015,0.001603283,0.021031307,-0.047782836,-0.013748594,0.008076187,0.036412644,0.566831921,0.040749954,0.126656375,0.006099026,0.035981009,0.005168916,-0.002417775,-0.526444678,0.006008608,0.031454481,-0.001836505,0.000491508,0.002087528,-1.261034672,-0.365838206,-0.059618396,0.736824159,-0.141886992,2.321509928,-0.112604759,-0.093462638,0.198851936,0.356402633,-0.139626024,1.225460075,-1.611064082,-0.155941999,0.091673850,-0.044595762,-0.210349757,0.009141060,1
25,0.250000,1,0.005900666105,0,0.250915927,0.271041267,0.884531779,-0.000151349,0.001835665,-0.001882499,0.002633700,0.044138078,0.237474219,-0.259058715,0.913264593,-0.000954904,-0.001358274,0.000002604,0.001660348,0.022691655,-0.051453689,-0.014721349,0.008433230,0.039914025,0.571757513,0.042990183,0.134464154,0.006526986,0.038262552,0.005545168,-0.002544433,-0.528620171,0.006153870,0.033376938,-0.001863353,0.000579312,0.002239770,-1.243665488,-0.372811035,-0.067671203,0.730984122,-0.169482176,2.127926323,-0.120221243,-0.089318684,0.179702698,0.328767656,-0.199688156,1.176357891,-1.518411793,-0.201759055,0.092285606,-0.069052224,-0.199209245,0.009877936,1
26,0.260000,1,0.006117317261,0,0.250767453,0.272907192,0.882677571,-0.000148475,0.001865925,-0.001854208,0.002634731,0.046772809,0.236481052,-0.260453367,0.913295158,-0.000993167,-0.001394652,0.000030566,0.001712416,0.024404072,-0.055250646,-0.015730687,0.008784311,0.043489088,0.576668915,0.045462564,0.142260673,0.006945599,0.040563980,0.005957059,-0.002685054,-0.530673118,0.006138026,0.035283801,-0.001881033,0.000662656,0.002370977,-1.240413223,-0.382441349,-0.084594627,0.727060335,-0.210502533,1.945233672,-0.136637211,-0.085636399,0.158889354,0.302567616,-0.244136985,1.117442130,-1.436774194,-0.246884539,0.092202595,-0.093628956,-0.189417550,0.010637341,1
27,0.270000,1,0.006340956961,0,0.250622446,0.274798165,0.880849750,-0.000145007,0.001890973,-0.001827820,0.002633958,0.049406767,0.235450957,-0.261881025,0.913355985,-0.001030095,-0.001427658,0.000060827,0.001761534,0.026165605,-0.059171968,-0.016777306,0.009128625,0.047137250,0.581563370,0.048147737,0.150045169,0.007355280,0.042883378,0.006401828,-0.002845644,-0.532608429,0.005970340,0.037170488,-0.001889485,0.000739095,0.002482263,-1.212955800,-0.394894364,-0.090491460,0.702085976,-0.236490573,1.776043667,-0.155668227,-0.082348014,0.137741084,0.277794524,-0.291772892,1.066355874,-1.352899711,-0.289520893,0.091493208,-0.114388301,-0.179550903,0.011447900,1
28,0.280000,1,0.006570817794,0,0.250481805,0.276708563,0.879046520,-0.000140641,0.001910398,-0.001803230,0.002630787,0.052037554,0.234384511,-0.263339142,0.913449503,-0.001066446,-0.001458117,0.000093518,0.001808911,0.027974516,-0.063217333,-0.017862170,0.009464479,0.050858118,0.586436774,0.051027434,0.157816002,0.007756398,0.045218665,0.006876853,-0.003030648,-0.534431995,0.005658977,0.039032486,-0.001888717,0.000806171,0.002574608,-1.183147047,-0.409228290,-0.095885017,0.670470155,-0.262453204,1.616225441,-0.178178824,-0.079418942,0.116156462,0.254221676,-0.331882200,1.013637057,-1.274086092,-0.329695912,0.090228283,-0.133409246,-0.170357360,0.012275634,1
29,0.290000,1,0.006806119737,0,0.250346357,0.278633782,0.877266523,-0.000135448,0.001925219,-0.001779997,0.002625491,0.054663045,0.233283102,-0.264824453,0.913577786,-0.001101409,-0.001485311,0.000128283,0.001853566,0.029828082,-0.067383992,-0.018986523,0.009791285,0.054649194,0.591286530,0.054084735,0.165571268,0.008149281,0.047567726,0.007379658,-0.003244829,-0.536148927,0.005212325,0.040865533,-0.001878799,0.000861808,0.002648997,-1.151339925,-0.424911492,-0.100796873,0.632992376,-0.288247620,1.465566880,-0.203919419,-0.076798554,0.094230517,0.231835165,-0.365206340,0.959747031,-1.200006260,-0.367600350,0.088478607,-0.150859067,-0.161786492,0.013117871,1
